Make,Model,Year,Mileage,Price,Body Style,Ex Color,In Color,Engine,Transmission,Doors
Toyota,Avalon XLE,2014,4725,28995,Sedan,Gray,Black,6 Cyl,Automatic,4
Ford,Escape SE,2014,17201,24994,SUV,Silver,Black,4 Cyl,Automatic,4
Hyundai,Santa Fe Sport,2014,6279,25998,SUV,Silver,Gray,4 Cyl,Automatic,4
Ford,Escape SE,2014,16262,26684,SUV,Black,Black,4 Cyl,Automatic,4
Jeep,Grand Cherokee Limited Edition,2014,35572,33440,SUV,Black,Black,6 Cyl,Automatic,4
Honda,CR-V EXL,2014,10078,29995,SUV,Black,Black,4 Cyl,Automatic,4
Hyundai,Elantra GLS,2013,12649,16991,Sedan,Silver,Gray,4 Cyl,Automatic,4
GMC,Acadia SLT,2014,15814,34497,SUV,Silver,Black,6 Cyl,Automatic,4
GMC,Acadia SLT,2014,17974,34997,SUV,White,Black,6 Cyl,Automatic,4
Nissan,Armada SV,2014,20992,34999,SUV,Black,Gray,8 Cyl,Automatic,4
Volkswagen,CC Sport,2014,50,34230,Sedan,Silver,Black,4 Cyl,Automatic,4
GMC,Yukon SLT,2014,19958,37988,SUV,Black,Black,8 Cyl,Automatic,4
BMW,3 Series 328i,2014,5583,38900,Sedan,Gray,Black,4 Cyl,Automatic,4
Jeep,Wrangler Unlimited,2014,4,36865,SUV,Red,Black,6 Cyl,Automatic,4
Chevrolet,Suburban 1500 LT,2014,25684,39990,SUV,Black,Black,8 Cyl,Automatic,4
Lexus,CT 200h,2014,10,37613,Hatchback,Red,Tan,Hybrid,Automatic,4
BMW,3 Series 328i,2014,4324,44846,Wagon,White,Brown,4 Cyl,Automatic,4
BMW,X3 35i,2014,7038,44785,SUV,Black,Black,6 Cyl,Automatic,4
Cadillac,XTS Luxury,2014,16356,42785,Sedan,Black,Black,6 Cyl,Automatic,4
Lexus,ES 350,2014,10,40222,Sedan,Blue,Tan,6 Cyl,Automatic,4
Lexus,ES 350,2014,14,40222,Sedan,Silver,Gray,6 Cyl,Automatic,4
Lexus,ES 350,2014,14,40222,Sedan,White,Gray,6 Cyl,Automatic,4
Dodge,Dart SXT,2013,28502,15588,Sedan,Blue,Gray,4 Cyl,Automatic,4
Mercedes-Benz,GLK 250,2014,7259,42991,SUV,White,Tan,4 Cyl,Automatic,4
Nissan,Altima S,2013,29483,17768,Coupe,Blue,Tan,4 Cyl,Automatic,2
Chevrolet,Impala LTZ,2013,35509,17999,Sedan,Black,Black,6 Cyl,Automatic,4
Chevrolet,Impala LT,2013,29541,18797,Sedan,White,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2014,2460,43115,Sedan,White,Gray,6 Cyl,Automatic,4
Lexus,ES 350,2014,18,44726,Sedan,Silver,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2014,3052,43975,Sedan,Black,Black,6 Cyl,Automatic,4
Mercedes-Benz,C 300,2014,2027,46755,Sedan,Silver,Black,6 Cyl,Automatic,4
Mercedes-Benz,E 350,2014,8044,53991,Sedan,Silver,Black,6 Cyl,Automatic,4
Toyota,RAV4 LE,2013,24396,23439,SUV,Black,Gray,4 Cyl,Automatic,4
Ford,Fiesta S,2013,23476,12886,Sedan,Black,Black,4 Cyl,Manual,4
Chrysler,200 Touring,2013,37106,12995,Sedan,Black,Black,6 Cyl,Automatic,4
BMW,5 Series 550i,2014,10545,57986,Sedan,Silver,Black,8 Cyl,Automatic,4
Toyota,Yaris,2013,31034,15400,Hatchback,Silver,Gray,4 Cyl,Automatic,4
Honda,Civic LX,2013,6600,16666,Sedan,Gray,Gray,4 Cyl,Automatic,4
Scion,tC,2013,3739,17700,Hatchback,Red,Gray,4 Cyl,Automatic,2
Hyundai,Sonata SE,2013,29874,18495,Sedan,Gray,Gray,4 Cyl,Automatic,4
Ford,Transit Connect XL,2013,20,19999,Minivan,White,Gray,4 Cyl,Automatic,4
Nissan,Altima S,2013,5457,17777,Sedan,Black,Gray,6 Cyl,Automatic,4
Kia,Rio LX,2013,6203,13647,Sedan,Red,Tan,4 Cyl,Automatic,4
Volkswagen,Jetta SE,2013,7689,19979,Sedan,Brown,Tan,5 Cyl,Automatic,4
Toyota,Corolla LE,2013,22949,17200,Sedan,White,Tan,4 Cyl,Automatic,4
Ford,Fusion SE,2013,18865,19950,Sedan,Purple,Black,4 Cyl,Automatic,4
Kia,Forte EX,2013,21666,13848,Sedan,White,Black,4 Cyl,Automatic,4
Honda,Accord LX,2013,8177,18899,Sedan,Gray,Black,4 Cyl,Automatic,4
Hyundai,Sonata GLS,2013,12100,18922,Sedan,White,Tan,4 Cyl,Automatic,4
Hyundai,Sonata SE,2013,46829,17777,Sedan,Silver,Gray,4 Cyl,Automatic,4
BMW,5 Series 535i,2014,11614,59995,Sedan,White,Brown,6 Cyl,Automatic,4
Kia,Forte EX,2013,19608,15800,Sedan,Black,Black,4 Cyl,Automatic,4
Kia,Optima LX,2013,38282,18994,Sedan,Silver,Gray,4 Cyl,Automatic,4
Nissan,Sentra SR,2013,15909,16530,Sedan,Blue,Black,4 Cyl,Automatic,4
Toyota,Camry SE,2013,15140,21000,Sedan,Red,Black,4 Cyl,Automatic,4
Dodge,Grand Caravan SXT,2013,39392,19992,Minivan,Blue,Black,6 Cyl,Automatic,4
BMW,5 Series 550i,2014,6185,61996,Sedan,White,Black,8 Cyl,Automatic,4
Hyundai,Sonata GLS,2013,51181,15650,Sedan,White,Tan,4 Cyl,Automatic,4
Ford,Focus SE,2013,32441,16995,Sedan,Gray,Black,4 Cyl,Automatic,4
